exec_gas,data_gas,algorithm
132406,2020,uncompressed
142362,1316,compressed
132406,2008,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142122,1316,compressed
132406,2008,uncompressed
142098,1316,compressed
132406,2008,uncompressed
142354,1304,compressed
132406,2008,uncompressed
142122,1304,compressed
132406,1996,uncompressed
142149,1304,compressed
132406,2008,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142362,1316,compressed
132406,2008,uncompressed
142303,1304,compressed
132406,1996,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142098,1304,compressed
132406,2008,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142149,1304,compressed
132406,2008,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142157,1316,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2008,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142303,1304,compressed
132406,1996,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142157,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142157,1316,compressed
132406,2020,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2008,uncompressed
142354,1316,compressed
132406,2008,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,1996,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2008,uncompressed
142303,1304,compressed
132406,2008,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142327,1304,compressed
132406,2008,uncompressed
142303,1316,compressed
132406,1996,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142362,1304,compressed
132406,2008,uncompressed
142098,1316,compressed
132406,2008,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142327,1304,compressed
132406,1996,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142149,1304,compressed
132406,2008,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142122,1292,compressed
132406,1972,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2008,uncompressed
142362,1316,compressed
132406,2008,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142122,1304,compressed
132406,2008,uncompressed
142303,1316,compressed
132406,2008,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142098,1304,compressed
132406,2008,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142149,1304,compressed
132406,2008,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142098,1316,compressed
132406,2008,uncompressed
142157,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2008,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142098,1304,compressed
132406,2008,uncompressed
142354,1316,compressed
132406,1996,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142122,1316,compressed
132406,2008,uncompressed
142098,1280,compressed
132406,1984,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2008,uncompressed
142122,1316,compressed
132406,2008,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142157,1316,compressed
132406,2008,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142303,1316,compressed
132406,2008,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,1996,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142303,1316,compressed
132406,2008,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142354,1316,compressed
132406,2008,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1316,compressed
132406,2008,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142149,1316,compressed
132406,2008,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142149,1316,compressed
132406,2008,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142098,1316,compressed
132406,2008,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2008,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142354,1316,compressed
132406,2008,uncompressed
142157,1316,compressed
132406,2020,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2020,uncompressed
142122,1328,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142157,1328,compressed
132406,2020,uncompressed
142157,1316,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2008,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2008,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2020,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2008,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2020,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142149,1316,compressed
132406,2008,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142149,1316,compressed
132406,2008,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2008,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2008,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142122,1304,compressed
132406,1996,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2020,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142098,1316,compressed
132406,2020,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142098,1292,compressed
132406,1996,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142122,1316,compressed
132406,2008,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142122,1316,compressed
132406,2020,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142157,1304,compressed
132406,1996,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142327,1304,compressed
132406,2008,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1304,compressed
132406,1996,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2020,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142122,1316,compressed
132406,2008,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2020,uncompressed
142157,1328,compressed
132406,2020,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142149,1328,compressed
132406,2008,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142327,1316,compressed
132406,2008,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142362,1316,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2020,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142362,1304,compressed
132406,1996,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142354,1316,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142303,1316,compressed
132406,2020,uncompressed
142149,1328,compressed
132406,2020,uncompressed
142362,1316,compressed
132406,2008,uncompressed
142157,1316,compressed
132406,2020,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2020,uncompressed
142149,1316,compressed
132406,2020,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142354,1316,compressed
132406,2008,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2008,uncompressed
142157,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2008,uncompressed
142327,1316,compressed
132406,2020,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142362,1328,compressed
132406,2032,uncompressed
142122,1328,compressed
132406,2032,uncompressed
142303,1328,compressed
132406,2032,uncompressed
142354,1328,compressed
132406,2032,uncompressed
142157,1316,compressed
132406,2008,uncompressed
142327,1328,compressed
132406,2032,uncompressed
142149,1328,compressed
132406,2032,uncompressed
142098,1328,compressed
